season,macId,match,sourceUrl,confidence,notes
2021-2022,223393, - ,https://www.tff.org/Default.aspx?macId=223393&pageID=528,high,TFF maç detay sayfasında Balıkesirspor doğrulandı
2021-2022,223429, - ,https://www.tff.org/Default.aspx?macId=223429&pageID=528,high,TFF maç detay sayfasında Balıkesirspor doğrulandı
2021-2022,223321, - ,https://www.tff.org/Default.aspx?macId=223321&pageID=528,high,TFF maç detay sayfasında Balıkesirspor doğrulandı
2021-2022,223295, - ,https://www.tff.org/Default.aspx?macId=223295&pageID=528,high,TFF maç detay sayfasında Balıkesirspor doğrulandı
2021-2022,223439, - ,https://www.tff.org/Default.aspx?macId=223439&pageID=528,high,TFF maç detay sayfasında Balıkesirspor doğrulandı
2021-2022,223330, - ,https://www.tff.org/Default.aspx?macId=223330&pageID=528,high,TFF maç detay sayfasında Balıkesirspor doğrulandı
2021-2022,223366, - ,https://www.tff.org/Default.aspx?macId=223366&pageID=528,high,TFF maç detay sayfasında Balıkesirspor doğrulandı
2021-2022,223448, - ,https://www.tff.org/Default.aspx?macId=223448&pageID=528,high,TFF maç detay sayfasında Balıkesirspor doğrulandı
2021-2022,223600, - ,https://www.tff.org/Default.aspx?macId=223600&pageID=528,high,TFF maç detay sayfasında Balıkesirspor doğrulandı
2021-2022,223555, - ,https://www.tff.org/Default.aspx?macId=223555&pageID=528,high,TFF maç detay sayfasında Balıkesirspor doğrulandı
2021-2022,223492, - ,https://www.tff.org/Default.aspx?macId=223492&pageID=528,high,TFF maç detay sayfasında Balıkesirspor doğrulandı
